run_id,data_version,case_id,claim_id,question,rubric,claim,citation_number,record_id,version_id,evidence_id,title,source_url,quote,quote_start,quote_end,paragraph_ids,context_excerpt,ai_text_support,ai_attribution,ai_units_temporality,ai_task_completeness,ai_language,ai_notes,suggested_action,local_language_status,human_verdict,human_notes
05077c5c92034712a711a4d74340683d,5114ebc1cf9afe59cdaa715e3ea45166,pdf265-smoke-01,pdf265-smoke-01-1,"According to the mollusks advertisement, how often and for how long can sixteen mollusks collect data?","[""Attribute the claim to the advertisement."",""Retain daily collection and at least two or three years; do not imply independently verified field performance.""]","According to the mollusks advertisement, sixteen mollusks can generate and send more than 2.5 million data points daily, continuously, for at least two or three years. [1]",1,d340f887-efa7-5746-aaf8-14aabba6b63f,4a3327449b00061b4be47ef667a3a106d284af36ebd4f88685942bcc60ccf949,b0fb95cc8e7dbf2363ebd0dfb7255b78dc6e2c808e38bf86f88a5f76307421a1,Using mollusks to monitor industrial sites,https://www.cnbc.com/advertorial/2018/12/28/using-mollusks-to-monitor-industrial-sites.html,"Just
sixteen mollusks in a net less than
a meter long can generate and
send more than 2.5 million data
daily over long periods — at least
two or three years — and
continuously. Because bivalves
are extremely sensitive to
hydrocarbons, even the slightest
disturbance to their environment
causes a reaction.",3154,3459,"[""p1""]","y and
quality of gaping activity can be
recorded. The data collected is
then analyzed. “Quite simple in
theory, but in practice we had to
solve a few technological
challenges,” notes Laurent Cazes.
“For example, we had to make
sure the electromagnet didn’t
disturb them. Studies showed that
it didn’t; the mollusks continued
to reproduce, for instance. We
miniaturized the electromagnets
and made them lighter so that we
could avoid bothering them.” Just
sixteen mollusks in a net less than
a meter long can generate and
send more than 2.5 million data
daily over long periods — at least
two or three years — and
continuously. Because bivalves
are extremely sensitive to
hydrocarbons, even the slightest
disturbance to their environment
causes a reaction. “Ultimately, the
aim is to limit human intervention
and automate everything,” adds
Laurent Cazes.",有据,明确归于 advertisement,16只、每日超过250万 data、连续至少两三年保留。,覆盖频率与时长。,英文，与题目一致,完整数量句支持，data points 是语境中的释义；未声称独立实测。,,match,,
05077c5c92034712a711a4d74340683d,5114ebc1cf9afe59cdaa715e3ea45166,pdf265-smoke-02,pdf265-smoke-02-1,"Does the advertisement establish that valvometry already works in estuaries, or does it describe further testing?","[""Explain the stated need to test effectiveness where saltwater and freshwater mix."",""Do not generalize success in fresh and salt water to established estuary effectiveness.""]","Laurent Cazes says the advertisement has shown that valvometry works in warm and cold waters, and in freshwater and saltwater, but that further testing is needed to determine whether it is effective in estuaries, where saltwater and freshwater mix. [1]",1,d340f887-efa7-5746-aaf8-14aabba6b63f,4a3327449b00061b4be47ef667a3a106d284af36ebd4f88685942bcc60ccf949,d9dddff0d7ab065f22b323c56403fbc6c39c764a436dd6f939ad1c3b89c38be2,Using mollusks to monitor industrial sites,https://www.cnbc.com/advertorial/2018/12/28/using-mollusks-to-monitor-industrial-sites.html,"“We’ve
shown that valvometry works in
warm waters, cold waters,
freshwater and saltwater,” says
Laurent Cazes. “We now need to
see if it is effective in estuaries,
where saltwater and freshwater
mix.”",4812,5012,"[""p1""]","ed in
the Barents Sea, an extremely cold
environment where companies
avoids sending personnel to
conduct maintenance. In the
United Arab Emirates, a
completely different, very hot
climate, pearl oysters — an
emblematic local species — were
used for over a year to monitor
water quality around one of Total
ABK’s offshore platforms. There’s
no need to import potentially
invasive species; local species
already adapted to the
environment can be used. “We’ve
shown that valvometry works in
warm waters, cold waters,
freshwater and saltwater,” says
Laurent Cazes. “We now need to
see if it is effective in estuaries,
where saltwater and freshwater
mix.”",部分有据；主体错误,错误把原文 We’ve 技术验证主体改成 advertisement,各类水体与河口待测状态区分保留。,河口核心答案有据，但 actor 错误。,英文，与题目一致,quote 已包含完整 We’ve shown 和 We now need to see；答案仍写 the advertisement has shown。,改为广告引用 Laurent Cazes 说技术在既述水体有效，而河口仍需测试；不得称广告完成或证明技术验证。,match,,
604a225bb0d647c58b90c1982476732a,5114ebc1cf9afe59cdaa715e3ea45166,dev-01,dev-01-1,"What feedstock supplies the biogas digesters used in Total and GoodPlanet's employee air-travel offset project, and where is the project?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]",The advertisement says the biogas digesters are fed daily with livestock slurry. [1],1,01374b51-3fae-5fe7-8c60-b4bffa2b7ba0,eaae7ec0fbb8b83f82532ee0722ce0c2c95d51dcfd9df8ea4e24ec72b82dfdef,f5757e1fa9dd3d7a6669524340f2affbba46c7afc6a198ef0c567d62b6a9acc5,Biogas to offset air travel emissions,https://www.cnbc.com/advertorial/2018/11/09/biogas-to-offset-air-travel-emissions.html,"A biogas digester is a concrete structure with a fermentation chamber that is fed with livestock slurry each day. As the slurry decomposes, it produces biogas (methane and CO2) that can supply a household with two to three cubic meters of gas per day, or three to four hours of cooking heat and hot water.",1126,1431,"[""p1""]","of cost and impact,"" says Philippe Cabus, head of energy access in Total's GRP 1 business segment. ""We'd reduced the number of trips by 20 percent since 2014. It didn't make sense to offset our carbon emissions without cutting back on air travel first."" Total and GoodPlanet Foundation signed an agreement in late 2017 to neutralize the carbon emissions of all Total employee air travel through a biogas digester project in Adilabad district, India. A biogas digester is a concrete structure with a fermentation chamber that is fed with livestock slurry each day. As the slurry decomposes, it produces biogas (methane and CO2) that can supply a household with two to three cubic meters of gas per day, or three to four hours of cooking heat and hot water. The dung from two cows is enough to supply an average family. Matthieu Jousset, who heads the GoodPlanet Foundation's United Carbon Action program, points out the many advantages of this simple but effective solution: ""Besides providing energy from ",有据,明确归于广告,每日畜粪浆；未主张实测产量。,与第二条合计覆盖原料、地点。,英文，与题目一致,quote 首句直接支持，后句产气背景未被答案额外主张。,,match,,
604a225bb0d647c58b90c1982476732a,5114ebc1cf9afe59cdaa715e3ea45166,dev-01,dev-01-2,"What feedstock supplies the biogas digesters used in Total and GoodPlanet's employee air-travel offset project, and where is the project?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The advertisement locates Total and GoodPlanet's employee air-travel offset project in Adilabad district, India. [2]",2,01374b51-3fae-5fe7-8c60-b4bffa2b7ba0,eaae7ec0fbb8b83f82532ee0722ce0c2c95d51dcfd9df8ea4e24ec72b82dfdef,f5757e1fa9dd3d7a6669524340f2affbba46c7afc6a198ef0c567d62b6a9acc5,Biogas to offset air travel emissions,https://www.cnbc.com/advertorial/2018/11/09/biogas-to-offset-air-travel-emissions.html,"""We'd reduced the number of trips by 20 percent since 2014. It didn't make sense to offset our carbon emissions without cutting back on air travel first."" Total and GoodPlanet Foundation signed an agreement in late 2017 to neutralize the carbon emissions of all Total employee air travel through a biogas digester project in Adilabad district, India.",775,1125,"[""p1""]","kinds of benefits. For more than a decade, GoodPlanet Foundation Chair Yann Arthus-Bertrand has been urging big French companies to reduce their greenhouse gas emissions from air travel and offset the remainder. Total stepped up to the plate in 2017. ""We were aware of the issue because we'd already introduced a program to curtail air travel because of cost and impact,"" says Philippe Cabus, head of energy access in Total's GRP 1 business segment. ""We'd reduced the number of trips by 20 percent since 2014. It didn't make sense to offset our carbon emissions without cutting back on air travel first."" Total and GoodPlanet Foundation signed an agreement in late 2017 to neutralize the carbon emissions of all Total employee air travel through a biogas digester project in Adilabad district, India. A biogas digester is a concrete structure with a fermentation chamber that is fed with livestock slurry each day. As the slurry decomposes, it produces biogas (methane and CO2) that can supply a household with two to three cubic meters of gas per da",有据,明确归于广告,印度 Adilabad，未新增抵消绩效。,回答项目地点。,英文，与题目一致,quote 明示 Total、GoodPlanet、员工航空出行与项目地点。,,match,,
604a225bb0d647c58b90c1982476732a,5114ebc1cf9afe59cdaa715e3ea45166,dev-02,dev-02-1,"How does the ExxonMobil Baytown hydrogen advertisement link natural gas to CCS, and is the new hydrogen facility described as already completed?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]",The ExxonMobil Baytown advertisement says blue hydrogen is produced from natural gas in combination with carbon capture and storage (CCS). [1],1,0d2b4bc2-4397-5604-8235-fcda8c7088f7,7edbf6617dc344578452865c341bfe53f5f18beb6b9bc30caa51aa6e96269cde,c073c2acb5b73e32052753e012aa8417b7b0026652834dafc4d2fcd38df051f7,Hydrogen: Another Chapter in ExxonMobil's Lower-Emissions Ambitions,https://partners.wsj.com/exxonmobil/business-of-carbon-capture-and-storage/hydrogen-another-chapter-in-exxonmobils-lower-emissions-ambitions/,"Blue hydrogen is a low-carbon fuel produced from natural gas in combination with carbon capture and storage (CCS). This clean-burning fuel produces zero CO2 when combusted, meaning it can play a vital role in a lower-emission future.",279,512,"[""p1""]","By ExxonMobil There's a buzz in Baytown, Texas. The city just outside of Houston is already home to one of ExxonMobil's largest integrated refining and chemical complexes. It's also the site of the company's recently announced plan to build a world-scale blue hydrogen facility. Blue hydrogen is a low-carbon fuel produced from natural gas in combination with carbon capture and storage (CCS). This clean-burning fuel produces zero CO2 when combusted, meaning it can play a vital role in a lower-emission future. Combining hydrogen with carbon capture and storage in places like Baytown supports ExxonMobil's larger 2050 net-zero ambitions for its Scope 1 and 2 greenhouse gas emissions. Once completed, the new facility could produce up to 1 billion cubic feet ",有据,明确归于 ExxonMobil 广告,天然气结合 CCS 生产蓝氢；未扩大为生命周期零排放。,回答天然气与 CCS 联系。,英文，与题目一致,核心定义在完整首句，后句燃烧端零CO2没有被答案扩写。,,match,,
604a225bb0d647c58b90c1982476732a,5114ebc1cf9afe59cdaa715e3ea45166,dev-02,dev-02-2,"How does the ExxonMobil Baytown hydrogen advertisement link natural gas to CCS, and is the new hydrogen facility described as already completed?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The advertisement describes the Baytown hydrogen facility as a recently announced plan to build, rather than as already completed. [2]",2,0d2b4bc2-4397-5604-8235-fcda8c7088f7,7edbf6617dc344578452865c341bfe53f5f18beb6b9bc30caa51aa6e96269cde,c073c2acb5b73e32052753e012aa8417b7b0026652834dafc4d2fcd38df051f7,Hydrogen: Another Chapter in ExxonMobil's Lower-Emissions Ambitions,https://partners.wsj.com/exxonmobil/business-of-carbon-capture-and-storage/hydrogen-another-chapter-in-exxonmobils-lower-emissions-ambitions/,"By ExxonMobil There's a buzz in Baytown, Texas. The city just outside of Houston is already home to one of ExxonMobil's largest integrated refining and chemical complexes. It's also the site of the company's recently announced plan to build a world-scale blue hydrogen facility.",0,278,"[""p1""]","By ExxonMobil There's a buzz in Baytown, Texas. The city just outside of Houston is already home to one of ExxonMobil's largest integrated refining and chemical complexes. It's also the site of the company's recently announced plan to build a world-scale blue hydrogen facility. Blue hydrogen is a low-carbon fuel produced from natural gas in combination with carbon capture and storage (CCS). This clean-burning fuel produces zero CO2 when combusted, meaning it can play a vital role in a lower-emission future. Combining hydro",有据,明确归于广告,recently announced plan to build 为规划。,回答设施是否建成。,英文，与题目一致,现有炼化综合体与新蓝氢设施计划区分正确。,,match,,
604a225bb0d647c58b90c1982476732a,5114ebc1cf9afe59cdaa715e3ea45166,dev-02,dev-02-3,"How does the ExxonMobil Baytown hydrogen advertisement link natural gas to CCS, and is the new hydrogen facility described as already completed?","[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The advertisement further says the facility could produce up to 1 billion cubic feet per day of blue hydrogen once completed, preserving its planned status. [3]",3,0d2b4bc2-4397-5604-8235-fcda8c7088f7,7edbf6617dc344578452865c341bfe53f5f18beb6b9bc30caa51aa6e96269cde,c073c2acb5b73e32052753e012aa8417b7b0026652834dafc4d2fcd38df051f7,Hydrogen: Another Chapter in ExxonMobil's Lower-Emissions Ambitions,https://partners.wsj.com/exxonmobil/business-of-carbon-capture-and-storage/hydrogen-another-chapter-in-exxonmobils-lower-emissions-ambitions/,"Once completed, the new facility could produce up to 1 billion cubic feet a day of blue hydrogen that can be used to help fuel the existing Baytown complex as well as other industrial facilities in the area.",688,895,"[""p1""]","ld a world-scale blue hydrogen facility. Blue hydrogen is a low-carbon fuel produced from natural gas in combination with carbon capture and storage (CCS). This clean-burning fuel produces zero CO2 when combusted, meaning it can play a vital role in a lower-emission future. Combining hydrogen with carbon capture and storage in places like Baytown supports ExxonMobil's larger 2050 net-zero ambitions for its Scope 1 and 2 greenhouse gas emissions. Once completed, the new facility could produce up to 1 billion cubic feet a day of blue hydrogen that can be used to help fuel the existing Baytown complex as well as other industrial facilities in the area. The CCS portion of the process could capture up to 10 million metric tons of CO2 a year and will be one of the world's largest CCS projects. Fueling the Baytown facility with blue hydrogen could significantly reduce the olefin plant's CO2 emissions ",有据,明确归于广告,每日最多10亿立方英尺蓝氢；once completed/could 保留。,补充规划状态数量例证。,英文，与题目一致,对象、体积、日分母及未来条件均在完整句中。,可精简重复的规划状态例证。,match,,
604a225bb0d647c58b90c1982476732a,5114ebc1cf9afe59cdaa715e3ea45166,dev-03,dev-03-1,What caveat does the Statoil-commissioned Forbes technology article acknowledge about carbon capture deployment?,"[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The Statoil-commissioned Forbes article, quoting Michel Di Capua of Bloomberg New Energy Finance, acknowledges that carbon capture appears technologically workable in some respects but has had very little successful deployment to date. [1]",1,11cb9509-d4c7-5bbe-bd19-ad24d914e43e,8bccf73894f2cbf7e0de049b4e3d8d861950166dc034008dcc9922245b77a9c8,5d7fcc01e5f4640df12ff0a636fcdbc92d8e6d33a587f137720066ce1ca072c3,The Technology Behind Energy Innovation,https://www.forbes.com/sites/statoil/2015/03/05/the-technology-behind-energy-innovation/,"""There is a lot of talk around carbon capture,"" comments Michel Di Capua of Bloomberg New Energy Finance. ""In some respects, especially from a technology perspective, it appears workable, but to date it has had very little successful deployment."" Delivery and transport of energy is not left out of the new-tech equation.",2725,3046,"[""p1""]","hat create real-time reports, allaying the need for guesswork. Some solutions considered promising are currently under-delivering. Carbon capture and storage (CCS) is vital for the goal of meeting future energy demand while remaining on a low-carbon path, but it still faces economic challenges despite the existence of proven technology. CCS is especially prized for its potential to allow the use of coal, which is abundant, as a carbon-free fuel. ""There is a lot of talk around carbon capture,"" comments Michel Di Capua of Bloomberg New Energy Finance. ""In some respects, especially from a technology perspective, it appears workable, but to date it has had very little successful deployment."" Delivery and transport of energy is not left out of the new-tech equation. Recently, a return to an old idea, direct current (DC) for long-distance transmission, has generated enthusiasm. A Swiss manufacturer recently debuted a",有据；完整性待审,Michel Di Capua/Bloomberg New Energy Finance 在 quote 内明示,in some respects、技术上看似可行、to date 限定保留。,回答部署少；未提同 evidence 的 economic challenges。,英文，与题目一致,短 quote 支持实际回答；委托方属性来自题目/记录语境。原 rubric 未要求穷尽原因。,人工决定是否补经济挑战；如补，另引对应句。,match,,
604a225bb0d647c58b90c1982476732a,5114ebc1cf9afe59cdaa715e3ea45166,dev-04,dev-04-1,Why does AFPM's Politico plastics advertisement describe limits to mechanical recycling?,"[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]","The AFPM-sponsored POLITICO advertisement says mechanical recycling is limited because shredding and melting post-consumer waste weakens plastic over time, restricting how much recycled material can be used in products such as bags or cups without compromising their strength. [1]",1,efb2878e-efea-5821-a9c1-20851779c77a,f4cd4434854b6676f9802fb9029d631471e5803e90c742e0c6ffb9112072568e,220356629a5e67ab9420ba4b88a6abf88563d951315311aa42f445b53579cf7b,Petrochemical manufacturers use chemistry to make plastic more sustainable and recyclable - POLITICO,https://www.politico.com/sponsor-content/2019/03/petrochemical-manufacturers,"But by simply shredding and melting post-consumer waste into new pellets, its scale is limited — the process weakens the plastic over time, and therefore restricts how much postconsumer recycled content can be put in a plastic bag or cup without compromising strength.",2571,2839,"[""p1""]",". We think there is a home for all these products outside of landfills and plastics are too valuable to waste. They are really a resource for circular solutions."" Their focus: Adapt years of chemistry and engineering to develop plastics that can be broken down and reused without compromising the properties that made plastics appealing and in high demand by customers in the first place. Mechanical recycling has long been used to recycle plastics. But by simply shredding and melting post-consumer waste into new pellets, its scale is limited — the process weakens the plastic over time, and therefore restricts how much postconsumer recycled content can be put in a plastic bag or cup without compromising strength. Another issue is many mechanically recycled products are brown or gray because it is hard to strip out the color. Petrochemical manufacturers have worked for years alongside their customers to tweak and perfect formulas for recycled and virgin plast",有据,明确归于 AFPM 广告,强度下降限制掺入量，无虚构比例。,回答机械回收强度局限。,英文，与题目一致,quote 以 But 开头，机械回收对象可由紧邻前句确认；因果链完整。,,match,,
604a225bb0d647c58b90c1982476732a,5114ebc1cf9afe59cdaa715e3ea45166,dev-04,dev-04-2,Why does AFPM's Politico plastics advertisement describe limits to mechanical recycling?,"[""Answer the requested point using the specified original advertisement."",""Attribute assertions to the advertiser or quoted speaker; do not turn forecasts or claims into verified outcomes.""]",The advertisement also says many mechanically recycled products are brown or gray because their color is difficult to remove. [2],2,efb2878e-efea-5821-a9c1-20851779c77a,f4cd4434854b6676f9802fb9029d631471e5803e90c742e0c6ffb9112072568e,220356629a5e67ab9420ba4b88a6abf88563d951315311aa42f445b53579cf7b,Petrochemical manufacturers use chemistry to make plastic more sustainable and recyclable - POLITICO,https://www.politico.com/sponsor-content/2019/03/petrochemical-manufacturers,"Another issue is many mechanically recycled products are brown or gray because it is hard to strip out the color. Petrochemical manufacturers have worked for years alongside their customers to tweak and perfect formulas for recycled and virgin plastics, but to create more products that contain primarily recycled material will require the adoption of chemical recycling.",2840,3211,"[""p1""]","ed without compromising the properties that made plastics appealing and in high demand by customers in the first place. Mechanical recycling has long been used to recycle plastics. But by simply shredding and melting post-consumer waste into new pellets, its scale is limited — the process weakens the plastic over time, and therefore restricts how much postconsumer recycled content can be put in a plastic bag or cup without compromising strength. Another issue is many mechanically recycled products are brown or gray because it is hard to strip out the color. Petrochemical manufacturers have worked for years alongside their customers to tweak and perfect formulas for recycled and virgin plastics, but to create more products that contain primarily recycled material will require the adoption of chemical recycling.",有据,明确归于广告,棕灰色及难脱色，无量化扩张。,补充颜色局限。,英文，与题目一致,首句直接支持，后句化学回收倡议未被答案推成必然结论。,,match,,
